2023/04/16 10:12:03 [error] 15716#7620: *64 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:12:13 [error] 15716#7620: *65 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:12:34 [error] 15716#7620: *66 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:12:48 [error] 15716#7620: *67 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:12:54 [error] 15716#7620: *68 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:14:09 [error] 15716#7620: *69 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:14:12 [error] 15716#7620: *70 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:14:19 [error] 15716#7620: *71 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:14:30 [error] 15716#7620: *72 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:14:41 [error] 15716#7620: *73 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:14:49 [error] 15716#7620: *74 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:14:54 [error] 15716#7620: *75 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:15:01 [error] 15716#7620: *76 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:15:07 [error] 15716#7620: *77 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:15:12 [error] 15716#7620: *78 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:15:34 [error] 15716#7620: *79 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:16:10 [error] 15716#7620: *80 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:16:13 [error] 15716#7620: *81 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:18:59 [error] 15716#7620: *83 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:19:03 [error] 15716#7620: *84 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:19:31 [error] 15716#7620: *85 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
